created_at,text,display_text_range,retweet_count,favorite_count,favorited,truncated,lang,is_quote_status,in_reply_to_user_id_str,in_reply_to_status_id_str,in_reply_to_screen_name,user.author_id,user.author_id_str,user.name,user.screen_name,user.author_created_at,user.profile_image_url,user.profile_banner_url,user.url,user.location,user.tweets_count,user.followers_count,user.friends_count,user.statuses_count,user.time_zone,user.protected,user.verified,user.is_translator,user.contributors_enabled,user.geo_enabled
Sun Mar 29 20:10:09 +0000 2020,I was addicted to starbucks at one point not no more tho https://t.co/14QliHBVPJ,"[0,56]",15,83,FALSE,FALSE,en,TRUE,,,,1516039273,1516039273,Money Man,MoneyMan,Fri Jun 14 10:27:39 +0000 2013,http://pbs.twimg.com/profile_images/1240851282409086981/AgutOpvg_normal.jpg,https://pbs.twimg.com/profile_banners/1516039273/1584676974,,Atlanta,83301,204534,1938,83301,,FALSE,TRUE,FALSE,FALSE,TRUE
Sun Mar 29 17:00:00 +0000 2020,"Starbucks employees will be paid for next 30 days whether they go to work or not
https://t.co/dW6du8pRbN #10TV https://t.co/p0I57lB5wp","[0,110]",26,255,FALSE,FALSE,en,FALSE,,,,15304100,15304100,10TV.com,10TV,Thu Jul 03 02:07:45 +0000 2008,http://pbs.twimg.com/profile_images/1241809534789787652/iUtkKnWF_normal.jpg,https://pbs.twimg.com/profile_banners/15304100/1509411157,https://t.co/KrvUsJSH4Y,"Columbus, Ohio, USA",165325,332701,22786,165325,,FALSE,TRUE,FALSE,FALSE,FALSE
Sun Mar 29 10:00:00 +0000 2020,Starbucks is now offering free coffee nationwide to first responders and frontline workers dealing with the coronavirus pandemic. https://t.co/sYXXooq8Ko #10TV,"[0,159]",18,112,FALSE,FALSE,en,FALSE,,,,15304100,15304100,10TV.com,10TV,Thu Jul 03 02:07:45 +0000 2008,http://pbs.twimg.com/profile_images/1241809534789787652/iUtkKnWF_normal.jpg,https://pbs.twimg.com/profile_banners/15304100/1509411157,https://t.co/KrvUsJSH4Y,"Columbus, Ohio, USA",165325,332701,22786,165325,,FALSE,TRUE,FALSE,FALSE,FALSE
Sun Mar 29 23:59:52 +0000 2020,"If y__ll mad that Starbucks is closed and you can__ get your iced coffee just make it at home. Cold brew is easy as fuck. 

3/4 cup coarse coffee grounds to a quart of water. Fill a pitcher, stick it in the fridge for 12 hours, and then filter it. Boom, smooth ass cold brew","[0,274]",0,6,FALSE,FALSE,en,FALSE,,,,860581128,860581128,bitch lasagna,LEAUXEND,Thu Oct 04 00:40:23 +0000 2012,http://pbs.twimg.com/profile_images/1236609218846658560/eb4tHfz6_normal.jpg,https://pbs.twimg.com/profile_banners/860581128/1569916944,,"Las Vegas, NV",81073,1129,1846,81073,,FALSE,FALSE,FALSE,FALSE,TRUE
Sun Mar 29 23:59:39 +0000 2020,I finally found a starbucks open &amp; now I__ going there errrrrrr morning,"[0,75]",0,0,FALSE,FALSE,en,FALSE,,,,3932659605,3932659605,Ally ____,alisonnatashaa_,Mon Oct 12 01:20:50 +0000 2015,http://pbs.twimg.com/profile_images/1239950472431239168/GqKBrHXG_normal.jpg,https://pbs.twimg.com/profile_banners/3932659605/1571965943,,"New York, USA",31153,645,545,31153,,FALSE,FALSE,FALSE,FALSE,TRUE
Sun Mar 29 23:59:33 +0000 2020,RT @nennyyyy_c: I want some Starbucks I haven__ had one in a while,"[0,66]",2,0,FALSE,FALSE,en,FALSE,,,,1.12E+18,1.12E+18,ciza __,ciizaaaaaa,Sat May 04 10:19:22 +0000 2019,http://pbs.twimg.com/profile_images/1243624855569944576/KYT_aQ-N_normal.jpg,,,,19244,174,102,19244,,FALSE,FALSE,FALSE,FALSE,FALSE
Sun Mar 29 23:59:24 +0000 2020,RT @Lynda63986855: @ChrisPBaconLT @jjpalmer2015 @Quin4Trump @Big_crusher1000 @gottripstone @ScottRickhoff @robcarlson20 @MemeMercenary @Rob_,"[0,140]",4,0,FALSE,FALSE,en,FALSE,,,,21795148,21795148,Annie,annier100,Tue Feb 24 20:44:17 +0000 2009,http://pbs.twimg.com/profile_images/611200328248135680/DZizfuZB_normal.jpg,https://pbs.twimg.com/profile_banners/21795148/1553263935,,,205076,10657,9780,205076,,FALSE,FALSE,FALSE,FALSE,FALSE
Sun Mar 29 23:59:23 +0000 2020,"@tahirazubeida I don__ know who I am anymore, my hand feels empty with out the Starbucks cup __ https://t.co/WE5JMOiiP9","[15,94]",0,1,FALSE,FALSE,en,FALSE,1.19E+18,1.24E+18,tahirazubeida,2399954718,2399954718,juleess __,julissa_mhs,Thu Mar 20 14:28:07 +0000 2014,http://pbs.twimg.com/profile_images/1244857943947800576/ZqSarW1i_normal.jpg,https://pbs.twimg.com/profile_banners/2399954718/1585343963,,,7600,499,353,7600,,FALSE,FALSE,FALSE,FALSE,TRUE
Sun Mar 29 23:59:20 +0000 2020,"He was relaxed this morning but we had a good day today.  We went for a car ride, got to meet my brother's dog and he got to have a puppuccino from starbucks!  He was very happy to say the least.

#Starbuckspuppuccino #goodday #spreadthesmiles #KopatheFizbinHound https://t.co/vvwuvipLZD","[0,263]",0,0,FALSE,FALSE,en,FALSE,,,,1.13E+18,1.13E+18,Kopa The Fizbin Hound,TheFizbinHound,Sat Jun 01 02:40:14 +0000 2019,http://pbs.twimg.com/profile_images/1220968739224596481/Oa15VnVV_normal.jpg,https://pbs.twimg.com/profile_banners/1134650832450965509/1579936606,,,120,2,25,120,,FALSE,FALSE,FALSE,FALSE,FALSE
Sun Mar 29 23:59:12 +0000 2020,"This customer today said had I been the one taking orders he would__e asked for a __ussy pop_, and I was like what you mean this is a Starbucks a coffee shop we have nothing of the sorts of thing.
Him _ lol I__ talking about a birthday cake pop_ ______","[0,249]",0,0,FALSE,FALSE,en,FALSE,,,,3167616606,3167616606,Fresh Prince,chrstianscool,Wed Apr 22 16:23:48 +0000 2015,http://pbs.twimg.com/profile_images/1205998256628682753/4Fm7E_Rr_normal.jpg,https://pbs.twimg.com/profile_banners/3167616606/1456556817,https://t.co/6dCendBWUb,"Round Rock, TX",4713,164,276,4713,,FALSE,FALSE,FALSE,FALSE,TRUE
